ID,angle,utensil,pills,sip,rating
C1-011,90,Straw,1,50.18,0
C1-011,90,Cup,1,67.98,1
C1-011,90,Straw,2,58.14,2
C1-011,90,Cup,2,72.63,2
C1-013,30,Cup,0,21.97,2
C1-013,30,Straw,0,16.46,1
C1-013,30,Straw,1,16.5,3
C1-013,30,Cup,1,21.73,3
C1-013,30,Straw,2,35.56,3
C1-013,30,Cup,2,36.5,2
C1-013,65,Cup,0,14.29,1
C1-013,65,Straw,0,15.04,1
C1-013,65,Straw,1,27.41,1
C1-013,65,Cup,1,25.4,2
C1-013,65,Straw,2,26.09,2
C1-013,65,Cup,2,40.42,3
C1-013,90,Cup,0,23.28,0
C1-013,90,Straw,0,50.55,0
C1-013,90,Straw,1,9.7,0
C1-013,90,Cup,1,13.14,0
C1-013,90,Straw,2,8.19,1
C1-013,90,Cup,2,12.17,1
C1-014,30,Cup,0,18.71,2
C1-014,30,Straw,0,11.29,1
C1-014,30,Straw,1,24.75,3
C1-014,30,Cup,1,15.24,3
C1-014,30,Straw,2,33.33,3
C1-014,30,Cup,2,30,1
C1-014,65,Cup,0,13.477,1
C1-014,65,Straw,0,11.1,1
C1-014,65,Straw,1,19.29,2
C1-014,65,Cup,1,15.76,3
C1-014,65,Straw,2,30.15,2
C1-014,65,Cup,2,66.42,3
C1-014,90,Cup,0,17.19,0
C1-014,90,Straw,0,14.11,0
C1-014,90,Straw,1,16.23,0
C1-014,90,Cup,1,51.49,1
C1-014,90,Straw,2,22.45,1
C1-014,90,Cup,2,34.74,2
C1-015,30,Cup,0,7.1,2
C1-015,30,Straw,0,6.55,1
C1-015,30,Straw,1,9.94,2
C1-015,30,Cup,1,26.08,3
C1-015,30,Straw,2,48.09,3
C1-015,30,Cup,2,56.99,3
C1-015,65,Cup,0,15.03,0
C1-015,65,Straw,0,19.7,1
C1-015,65,Straw,1,28.18,2
C1-015,65,Cup,1,50.41,0
C1-015,65,Straw,2,51.26,3
C1-015,65,Cup,2,55.17,3
